año;deficit_anual;deficit_acumulado
2001;7636197.28;0
2002;2310298.59;7636197.28
2003;1199750.92;9946495.87
2004;1220014.57;11146246.79
2005;1896699.51;12366261.36
2006;2710531.84;14262960.87
2007;3356632.07;16973492.71
2008;3620487.25;20330124.78
2009;3275486.34;23950612.03
2010;5149191.22;27226098.37
2011;7497462.12;32375289.59
2012;8692648.57;39872751.71
2013;8906672.26;48565400.28
2014;8494488.63;57472072.54
2015;8508317.85;65966561.17
2016;7222017.47;74474879.02
2017;9795861.56;81696896.49
2018;8023601.36;91492758.05
2019;6910012.79;99516359.41
2020;4744519.76;106426372.2
